Processes: 333 total, 2 running, 331 sleeping, 1136 threads 
2019/10/10 14:05:50
Load Avg: 1.88, 1.65, 1.74 
CPU usage: 7.14% user, 19.64% sys, 73.21% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8049M used (1596M wired), 142M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361530/404M in, 153922/20M out.
Disks: 217598/3575M read, 83267/1978M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
784   system_installd  0.0  00:01.53 2     1   34+    1696K+ 0B     1600K+ 784  1    sleeping  0[0]         0.00000 0.00000    0   3107+    164+   138+     48+      21476+   322+     3302+     15+     1      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
782   diskmanagementd  0.0  00:00.07 4     1   55+    1424K+ 0B     1268K+ 782  1    sleeping *0[1+]        0.00000 0.00000    0   2102+    235+   634+     238+     4352+    960+     335+      100+    5      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
781   storagekitd      0.0  00:02.18 8     5   75+    3432K+ 0B     2568K+ 781  1    sleeping  0[0]         0.00000 0.00000    0   9139+    194+   35895+   13087+   33170+   41131+   36766+    249+    1924   0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
775   com.apple.siri-d 0.0  00:00.10 4     3   58+    2360K+ 0B     2312K+ 775  1    sleeping *0[2+]        0.00000 0.00000    501 4978+    236+   308+     83+      2365+    597+     1185+     40+     0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
774   IMAutomaticHisto 0.0  00:00.07 2     2   66+    1888K+ 0B     1840K+ 774  1    sleeping  0[0]         0.00000 0.00000    501 5276+    184+   293+     78+      1126+    591+     579+      8+      6      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
768   OSDUIHelper      0.0  00:00.39 3     1   163+   10M+   452K+  2796K+ 768  1    sleeping *0[83+]       0.00000 0.00000    501 9763+    303+   4118+    1358+    5990+    11226+   6440+     86+     242    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
758   com.apple.WebKit 0.0  00:14.96 5     2   179+   211M+  4424K+ 81M+   758  1    sleeping *1472+[142+]  0.00000 0.00000    501 180820+  1898+  40406+   21041+   118342+  123062+  73925+    2043+   1543   0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
750   com.apple.WebKit 0.0  00:05.22 5     2   122+   91M+   12M+   70M+   750  1    sleeping *6939+[138+]  0.00000 0.00000    501 149714+  1879+  39359+   12357+   64931+   113221+  61346+    1143+   905    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
748   com.apple.WebKit 0.0  00:03.36 5     2   118+   78M+   21M+   28M+   748  1    sleeping *1434+[136+]  0.00000 0.00000    501 95342+   1867+  21158+   10094+   29237+   41994+   25363+    1560+   632    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
746   com.apple.WebKit 0.0  00:02.91 4     1   115+   87M+   11M+   41M+   746  1    sleeping *1627+[138+]  0.00000 0.00000    501 95283+   1876+  14457+   6888+    26167+   45171+   24829+    1675+   528    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
744   colorsync.userag 0.0  00:00.03 2     1   54+    1244K+ 0B     1192K+ 744  1    sleeping *0[1+]        0.00000 0.00000    501 1926+    133+   188+     72+      760+     518+     229+      3+      1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
743   mdworker         0.0  00:00.04 2     1   39+    2592K+ 0B     2556K+ 743  1    sleeping *0[1+]        0.00000 0.00000    89  3326+    179+   143+     53+      783+     363+     234+      13+     0      0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
742   mdworker         0.0  00:01.23 2     1   48+    3276K+ 0B     3220K+ 742  1    sleeping *0[1+]        0.00000 0.00000    501 4141+    188+   181+     53+      28415+   434+     3782+     9+      0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
733   UsageTrackingAge 0.0  00:00.08 3     2   58+    2184K+ 0B     2132K+ 733  1    sleeping  0[0]         0.00000 0.00000    501 3454+    176+   266+     80+      1771+    619+     639+      85+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
